Filename	URN	Suggested Full URN	Title	Author	Editor	Publisher	Publication Year
tlg0018.tlg017.xml	tlg0018.tlg017	urn:cts:greekLit:tlg0018.tlg017.opp-grc1	De Fuga Et Inventione	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg018.xml	tlg0018.tlg018	urn:cts:greekLit:tlg0018.tlg018.opp-grc1	De Mutatione Nominum	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg019.xml	tlg0018.tlg019	urn:cts:greekLit:tlg0018.tlg019.opp-grc1	De Somniis (Lib. I-Ii)	Philo Judaeus	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
tlg0018.tlg020.xml	tlg0018.tlg020	urn:cts:greekLit:tlg0018.tlg020.opp-grc1	De Abrahamo	Philo Judaeus	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
tlg0018.tlg021.xml	tlg0018.tlg021	urn:cts:greekLit:tlg0018.tlg021.opp-grc1	De Josepho	Philo Judaeus	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
tlg0018.tlg022.xml	tlg0018.tlg022	urn:cts:greekLit:tlg0018.tlg022.opp-grc1	De Vita Mosis (Lib. I-Ii)	Philo Judaeus	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
tlg0018.tlg023.xml	tlg0018.tlg023	urn:cts:greekLit:tlg0018.tlg023.opp-grc1	De Decalogo	Philo Judaeus	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
tlg0018.tlg024.xml	tlg0018.tlg024	urn:cts:greekLit:tlg0018.tlg024.opp-grc1	De Specialibus Legibus (Lib. I-Iv)	Philo Judaeus	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
tlg0018.tlg025.xml	tlg0018.tlg025	urn:cts:greekLit:tlg0018.tlg025.opp-grc1	De Virtutibus	Philo Judaeus	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
tlg0018.tlg026.xml	tlg0018.tlg026	urn:cts:greekLit:tlg0018.tlg026.opp-grc1	De Praemiis Et Poenis %7 De Exsecrationibus	Philo Judaeus	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
tlg0018.tlg027.xml	tlg0018.tlg027	urn:cts:greekLit:tlg0018.tlg027.opp-grc1	Quod Omnis Probus Liber Sit	Philo Judaeus	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
tlg0018.tlg028.xml	tlg0018.tlg028	urn:cts:greekLit:tlg0018.tlg028.opp-grc1	De Vita Contemplativa	Philo Judaeus	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
tlg0018.tlg029.xml	tlg0018.tlg029	urn:cts:greekLit:tlg0018.tlg029.opp-grc1	De Aeternitate Mundi	Philo Judaeus	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
tlg0018.tlg030.xml	tlg0018.tlg030	urn:cts:greekLit:tlg0018.tlg030.opp-grc1	In Flaccum	Philo Judaeus	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
tlg0018.tlg031.xml	tlg0018.tlg031	urn:cts:greekLit:tlg0018.tlg031.opp-grc1	Legatio Ad Gaium	Philo Judaeus	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
tlg0057.tlg019.xml	tlg0057.tlg019	urn:cts:greekLit:tlg0057.tlg019.opp-grc1	De Victu Attenuante	Galenus	Carolus Kalbfleisch	In Aedibus B.G. Teubneri	MDCCCXCVIII.
tlg0363.tlg007.xml	tlg0363.tlg007	urn:cts:greekLit:tlg0363.tlg007.opp-grc2	Apotelesmatica (%6 Tetrabiblos)	Claudius Ptolemaeus	F. Boll† Et Æ. Boer	In Aedibvs B.G. Tevbneri	MCMLIV
tlg0527.tlg001.xml	tlg0527.tlg001	urn:cts:greekLit:tlg0527.tlg001.opp-grc2	Genesis	Septuaginta	Henry Barclay Swete	University Press	1901
tlg0527.tlg002.xml	tlg0527.tlg002	urn:cts:greekLit:tlg0527.tlg002.opp-grc2	Exodus	Septuaginta	Henry Barclay Swete	University Press	1901
tlg0527.tlg003.xml	tlg0527.tlg003	urn:cts:greekLit:tlg0527.tlg003.opp-grc2	Leviticus	Septuaginta	Henry Barclay Swete	University Press	1901
tlg0527.tlg004.xml	tlg0527.tlg004	urn:cts:greekLit:tlg0527.tlg004.opp-grc2	Numeri	Septuaginta	Henry Barclay Swete	University Press	1901
tlg0527.tlg005.xml	tlg0527.tlg005	urn:cts:greekLit:tlg0527.tlg005.opp-grc2	Deuteronomium	Septuaginta	Henry Barclay Swete	University Press	1901
