URN	(Suggested) Full_URN	Title	Author	Editor	Publisher	Publication Year
tlg2001.tlg038	tlg2001.tlg038.opp-grc1	COMMENTARIA IN ARISTOTELEM GRAECA	MAXIMILIANUS WALLIES	MAXIMILIANUS WALLIES	TYPIS ET IMPENSIS GEORGII REIMERI	MCM
tlg2001.tlg039	tlg2001.tlg039.opp-grc1	COMMENTARIA IN ARISTOTELEM GRAECA	MAXIMILIANUS WALLIES	MAXIMILIANUS WALLIES	TYPIS ET IMPENSIS GEORGII REIMERI	MCM
tlg2001.tlg040	tlg2001.tlg040.opp-grc1	COMMENTARIA IN ARISTOTELEM GRAECA	MAXIMILIANUS WALLIES	MAXIMILIANUS WALLIES	TYPIS ET IMPENSIS GEORGII REIMERI	MCM
tlg2018.tlg001		EUSEBII CAESARIENSIS OPERA.	GUILIELMUS DINDORFIUS.	GUILIELMUS DINDORFIUS.	IN AEDIBUS B. G. TEUBNERI.	MDCCCLXVII.
tlg2018.tlg002		EUSEBII CAESARIENSIS OPERA.	GUILIELMUS DINDORFIUS.	GUILIELMUS DINDORFIUS.	IN AEDIBUS B. G. TEUBNERI	MDCCCLXXI.
tlg2018.tlg003		EUSEBII CAESARIENSIS OPERA.	GUILIELMUS DINDORFIUS.	GUILIELMUS DINDORFIUS.	IN AEDIBUS B. G. TEUBNERI	MDCCCLXXI.
tlg2018.tlg005		EUSEBII CAESARIENSIS OPERA.	GUILIEIMUS DIDNORFIUS.	GUILIEIMUS DIDNORFIUS.	IN AEDIBUS B. G. TEUBNERI.	MDCCCLXVIII.
tlg2018.tlg010		EUSEBIUS WERKE	LIC. Dr. ERICH KLOSTERMANN	LIC. Dr. ERICH KLOSTERMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1904
tlg2018.tlg011		EUSEBIUS WERKE	LIC. Dr. ERICH KLOSTERMANN	LIC. Dr. ERICH KLOSTERMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1904
tlg2018.tlg012		EUSEBIUS WERKE VIERTER BAND GEGEN MARCELL ÜBER DIE KIRCHLICHE THEOLOGIE DIE FRAGMENTE MARCELLS	RICHARDUS FOERSTER.	Professor Lic. Dr. ERICH KLOSTERMANN	J. C. HINRICHS'sche BUCHHANDLUNG	1906
tlg2018.tlg012a		EUSEBIUS WERKE VIERTER BAND GEGEN MARCELL ÜBER DIE KIRCHLICHE THEOLOGIE DIE FRAGMENTE MARCELLS	RICHARDUS FOERSTER.	Professor Lic. Dr. ERICH KLOSTERMANN	J. C. HINRICHS'sche BUCHHANDLUNG	1906
tlg2018.tlg02		EUSEBIUS WERKE	DR. IVAR A. HEIKEL	DR. IVAR A. HEIKEL	J.C.HINRICHS'SCHE BUCHHANDLUNG	1902
tlg2018.tlg020		EUSEBIUS WERKE	DR. IVAR A. HEIKEL	DR. IVAR A. HEIKEL	J.C.HINRICHS'SCHE BUCHHANDLUNG	1902
tlg2018.tlg020a		EUSEBIUS WERKE	DR. IVAR A. HEIKEL	DR. IVAR A. HEIKEL	J.C.HINRICHS'SCHE BUCHHANDLUNG	1902
